fecha_terminacion_proyecto,fecha_de_corte,c_digo_divipola_departamento,departamento,c_digo_divipola_municipio,municipio,indicador,nombre_proyecto,origen,aporte_nacion,contrapartida,estado_seguimiento,num_municipios,región
2020-08-10,2024-04-04,76,valle del cauca,76828,trujillo(val),nueva población beneficiada acueducto rural,"construcción del sistema de traatamiento de agua potable, redes de abastecimiento y soluciones individuales de saneamiento para la vereda culebras del municipio de trujillo",bid,3298850180,0,en liquidación,1,Región Pacífica
2020-08-10,2024-04-04,76,valle del cauca,76828,trujillo(val),nueva población beneficiada alcantarillado rural,"construcción del sistema de traatamiento de agua potable, redes de abastecimiento y soluciones individuales de saneamiento para la vereda culebras del municipio de trujillo",bid,3298850180,0,en liquidación,1,Región Pacífica
2022-05-13,2024-04-04,8,atlantico,8078,baranoa(atl),nueva población beneficiada acueducto rural,construcción de las redes del acueducto del corregimiento de sibarco en el municipio de baranoa – departamento del atlántico,pgn,1442488724,889143254,terminado,1,Región Caribe
2021-12-06,2024-04-04,68,santander,68655,sabana de torres(san),nueva población beneficiada acueducto rural,"construcción del acueducto para las veredas cristales la ye y cayumbita del área rural del municipio de sabana de torres, santander",obras por impuestos,0,0,liquidado,1,Región Andina
2023-06-21,2024-04-04,52,nariño,52378,la cruz(nar),nueva población beneficiada alcantarillado rural,construcción de unidades sanitarias con tratamiento de aguas residuales en la zona rural dispersa del municipio de la cruz nariño,pda,0,1499223043,terminado,1,Región Pacífica
2023-09-04,2024-04-04,88,san andres,88001,san andres(san),nueva población beneficiada alcantarillado urbano,"expansion de redes de alcantarillado sanitario en los distritos 1,2,y 3 san andrés",pda,5553725521,1477513779,liquidado contrato obra,1,Región Desconocida
2021-12-30,2024-04-04,8,atlantico,8638,sabanalarga(atl),nueva población beneficiada alcantarillado rural,"construcción de planta de tratamiento de aguas residuales para los corregimientos de aguada de pablo y la peña, municipio de sabanalarga",bid,9287399692,0,en liquidación,1,Región Caribe
2020-01-15,2024-04-04,8,atlantico,8638,sabanalarga(atl),nueva población beneficiada alcantarillado rural,construcción de alcantarillado sanitario del corregimiento de la peña municipio de sabanalarga.,bid,4846862317,0,en liquidación,1,Región Caribe
2019-05-24,2024-04-04,41,huila,41298,garzon(hui),nueva población beneficiada acueducto urbano,plan maestro de acueducto municipio de garzon fase 1,pda,1452963501,9963904256,en liquidación,1,Región Andina
2020-10-10,2024-04-04,41,huila,41001,neiva(hui),nueva población beneficiada alcantarillado urbano,construccion interceptor aguas lluvias carrera 18 entre calle 41 y 50 comuna 2 municipio de neiva,pda,0,1592614548,terminado,1,Región Andina
2021-12-12,2024-04-04,41,huila,41807,timana(hui),nueva población beneficiada alcantarillado urbano,rehabilitación de alcantarillado sanitario de la carrera 4 entre calle 7 a calle 10 del municipio de timana departamento del huila,ola invernal mayor,0,474460194,terminado,1,Región Andina
2021-10-26,2024-04-04,81,arauca,81794,tame(ara),nueva población beneficiada acueducto rural,construcción de un acueducto con agua potable para las veredas angosturas el triunfo y el centro poblado de corocito del municipio de tame – departamento de arauca,obras por impuestos,0,0,liquidado contrato obra,1,Región Orinoquía
2022-07-15,2024-04-04,8,atlantico,8573,puerto colombia(atl),nueva población beneficiada acueducto urbano,construcción de las redes de acueducto para la zona sur occidental del municipio de puerto colombia,pgn,859527012,947502180,terminado,1,Región Caribe
2021-06-28,2024-04-04,5,antioquia,5837,turbo(ant),nueva población beneficiada acueducto urbano,construccion de tanque de almacenamiento de piso  la lucila ii y obras accesorias en el sistema de acueducto del municipio de turbo,obras por impuestos,0,0,liquidado contrato obra,1,Región Andina
2021-08-28,2024-04-04,5,antioquia,5837,turbo(ant),nueva población beneficiada alcantarillado urbano,"construcción redes de alcantarillado distrito sur y estación de bombeo de aguas residuales la yuquita, fase 1 – municipio de turbo",pgn,22029626267,2500000000,en liquidación,1,Región Andina
2020-12-18,2024-04-04,5,antioquia,5837,turbo(ant),nueva población beneficiada alcantarillado urbano,"construcción extensión construcción redes de alcantarillado del barrio obrero municipio turbo, antioquia, occidente turbo",obras por impuestos,0,0,liquidado contrato obra,1,Región Andina
2021-06-30,2024-04-04,5,antioquia,5031,amalfi(ant),nueva población beneficiada acueducto rural,construcción acueducto vereda caracolí municipio de amalfi,obras por impuestos,0,0,liquidado contrato obra,1,Región Andina
2022-03-15,2024-04-04,15,boyaca,15332,guican(boy),nueva población beneficiada acueducto urbano,optimización de redes de alcantarillado y del sistema de acueducto del municipio de güican de la sierra,pda,0,2462043630,liquidado contrato obra,1,Región Andina
2020-09-07,2024-04-04,68,santander,68344,hato(san),nueva población beneficiada alcantarillado urbano,"ampliacion y optimizacion sistema de alcantarillado sanitario e interceptores pluviales, casco urbano municipio de hato",pgn,3073478990,269447756,liquidado contrato obra,1,Región Andina
2021-04-30,2024-04-04,19,cauca,"19142, 19698","caloto(cau), santander de quilichao(cau)",nueva población beneficiada alcantarillado rural,"construcción de sistemas individuales de saneamiento básico para las veredas palestina, santa maria de santander de quilichao y la vereda  morales del municipio de caloto - pdet",obras por impuestos,0,0,liquidado contrato obra,2,Región Pacífica
2018-11-06,2024-04-04,27,choco,27006,acandi(cho),nueva población beneficiada acueducto rural,optimización y ampliación del sistema de acueducto del corregimiento de capurgana municipio de acandi,todos por el pacífico,7891517828,0,terminado,1,Región Pacífica
2019-11-08,2024-04-04,27,choco,27006,acandi(cho),nueva población beneficiada acueducto urbano,optimización y ampliación del sistema de acueducto del municipio de acandi,todos por el pacífico,11929315274,0,terminado,1,Región Pacífica
2024-02-20,2024-04-04,20,cesar,20175,chimichagua(ces),nueva población beneficiada alcantarillado rural,"construcción de las redes de alcantarillado sanitario, estaciones de bombeo y sistemas de tratamiento de aguas residuales del corregimiento de saloa municipio de chimichagua-cesar",pgn,7737967301,3473414557,terminado,1,Región Caribe
